"otu","kingdom","phylum","class","order","family","genus"
"Otu1732","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharomonospora"
"Otu1733","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Perlucidibaca"
"Otu1734","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Allochromatium"
"Otu1735","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Psychroserpens"
"Otu1736","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","","Nitratifractor"
"Otu1737","Bacteria","Cyanobacteria","","Oscillatoriales","","Pseudanabaena"
"Otu1738","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermacetogenium"
"Otu1739","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Entomoplasmataceae","Entomoplasma"
"Otu1740","Archaea","Crenarchaeota","Thermoprotei","Acidilobales","Acidilobaceae","Acidilobus"
"Otu1741","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Dietziaceae","Dietzia"
"Otu1742","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella"
"Otu1743","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Tetrasphaera"
"Otu1744","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Coxiella"
"Otu1745","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanoplanus"
"Otu1746","Bacteria","Actinobacteria","Nitriliruptoria","Nitriliruptorales","Nitriliruptoraceae","Nitriliruptor"
"Otu1747","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia"
"Otu1748","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanomethylovorans"
"Otu1749","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anaerobacillus"
"Otu1750","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","Methylosinus"
"Otu1751","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidocella"
"Otu1752","Bacteria","Actinobacteria","Actinobacteria","Geodermatophilales","Geodermatophilaceae","Modestobacter"
"Otu1753","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azonexus"
"Otu1754","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halalkalicoccus"
"Otu1755","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Scardovia"
"Otu1756","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosomonas"
"Otu1757","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"Otu1758","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
"Otu1759","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Congregibacter"
"Otu1760","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Otu1761","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azospira"
"Otu1762","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Kitasatospora"
"Otu1763","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter"
"Otu1764","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter"
"Otu1765","Bacteria","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus"
"Otu1766","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer"
"Otu1767","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseibacterium"
"Otu1768","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfurispora"
"Otu1769","Bacteria","Cyanobacteria","","Chroococcales","","Dactylococcopsis"
"Otu1770","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herminiimonas"
"Otu1771","Bacteria","Dictyoglomi","Dictyoglomia","Dictyoglomales","Dictyoglomaceae","Dictyoglomus"
"Otu1772","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Simiduia"
"Otu1773","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Neorickettsia"
"Otu1774","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinomadura"
"Otu1775","Bacteria","Proteobacteria","Betaproteobacteria","","","Candidatus_Nasuia"
"Otu1776","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Ornithinibacillus"
"Otu1777","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Olleya"
"Otu1778","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Lechevalieria"
"Otu1779","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"Otu1780","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Edwardsiella"
"Otu1781","Bacteria","Deinococcus","Deinococci","Thermales","Thermaceae","Oceanithermus"
"Otu1782","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Metallosphaera"
"Otu1783","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Marivirga"
"Otu1784","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Algibacter"
"Otu1785","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas"
"Otu1786","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Pseudohaliea"
"Otu1787","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Tistrella"
"Otu1788","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Aeropyrum"
"Otu1789","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Chromobacteriaceae","Leeia"
"Otu1790","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfotignum"
"Otu1791","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agreia"
"Otu1792","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Proteiniclasticum"
"Otu1793","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Lentzea"
"Otu1794","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Psychrobacillus"
"Otu1795","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propionimicrobium"
"Otu1796","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio"
"Otu1797","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Isosphaeraceae","Singulisphaera"
"Otu1798","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Hydrogenibacillus"
"Otu1799","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Candidatus_Methylopumilus"
"Otu1800","Bacteria","Aquificae","Aquificae","Aquificales","Hydrogenothermaceae","Sulfurihydrogenibium"
"Otu1801","Bacteria","Thermotogae","Thermotogae","Petrotogales","","Petrotoga"
"Otu1802","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Azotobacter"
